Word=Confidence Pos=NN StartS=t I
Word=. Pos=. PPos=NN StartS=f O

Word=`` Pos=`` StartS=t O
Word=The Pos=DT PPos=`` StartS=f I
Word=Japanese Pos=JJ PPos=DT StartS=f I
Word=are Pos=VBP PPos=JJ StartS=f O
Word=in Pos=IN PPos=VBP StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=early Pos=JJ PPos=DT StartS=f I
Word=stage Pos=NN PPos=JJ StartS=f I
Word=right Pos=RB PPos=NN StartS=f O
Word=now Pos=RB PPos=RB StartS=f O
Word=, Pos=, PPos=RB StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=said Pos=VBD PPos='' StartS=f O
Word=Thomas Pos=NNP PPos=VBD StartS=f I
Word=Kenney Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=a Pos=DT PPos=, StartS=f I
Word=onetime Pos=JJ PPos=DT StartS=f I
Word=media Pos=NNS PPos=JJ StartS=f I
Word=adviser Pos=NN PPos=NNS StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=First Pos=NNP PPos=IN StartS=f I
Word=Boston Pos=NNP PPos=NNP StartS=f I
Word=Corp. Pos=NNP PPos=NNP StartS=f I
Word=who Pos=WP PPos=NNP StartS=f B
Word=was Pos=VBD PPos=WP StartS=f O
Word=recently Pos=RB PPos=VBD StartS=f O
Word=appointed Pos=VBN PPos=RB StartS=f O
Word=president Pos=NN PPos=VBN StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=Reader Pos=NNP PPos=IN StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=Digest Pos=NNP PPos=POS StartS=f I
Word=Association Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=new Pos=JJ PPos=POS StartS=f I
Word=Magazine Pos=NNP PPos=JJ StartS=f I
Word=Publishing Pos=NNP PPos=NNP StartS=f I
Word=Group Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=`` Pos=`` StartS=t O
Word=Before Pos=IN PPos=`` StartS=f O
Word=, Pos=, PPos=IN StartS=f O
Word=they Pos=PRP PPos=, StartS=f I
Word=were Pos=VBD PPos=PRP StartS=f O
Word=interested Pos=JJ PPos=VBD StartS=f O
Word=in Pos=IN PPos=JJ StartS=f O
Word=hard Pos=JJ PPos=IN StartS=f I
Word=assets Pos=NNS PPos=JJ StartS=f I
Word=and Pos=CC PPos=NNS StartS=f O
Word=they Pos=PRP PPos=CC StartS=f I
Word=saw Pos=VBD PPos=PRP StartS=f O
Word=magazines Pos=NNS PPos=VBD StartS=f I
Word=as Pos=IN PPos=NNS StartS=f O
Word=soft Pos=JJ PPos=IN StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=Now Pos=RB StartS=t O
Word=they Pos=PRP PPos=RB StartS=f I
Word=realize Pos=VBP PPos=PRP StartS=f O
Word=magazines Pos=NNS PPos=VBP StartS=f I
Word=are Pos=VBP PPos=NNS StartS=f O
Word=as Pos=IN PPos=VBP StartS=f I
Word=much Pos=JJ PPos=IN StartS=f I
Word=a Pos=DT PPos=JJ StartS=f I
Word=franchise Pos=NN PPos=DT StartS=f I
Word=as Pos=IN PPos=NN StartS=f O
Word=Nabisco Pos=NNP PPos=IN StartS=f I
Word=is Pos=VBZ PPos=NNP StartS=f O
Word=a Pos=DT PPos=VBZ StartS=f I
Word=franchise Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Bell Pos=NNP StartS=t I
Word=Atlantic Pos=NNP PPos=NNP StartS=f I
Word=Corp. Pos=NNP PPos=NNP StartS=f I
Word=and Pos=CC PPos=NNP StartS=f O
Word=Southern Pos=NNP PPos=CC StartS=f I
Word=New Pos=NNP PPos=NNP StartS=f I
Word=England Pos=NNP PPos=NNP StartS=f I
Word=Telecommunications Pos=NNPS PPos=NNP StartS=f I
Word=posted Pos=VBD PPos=NNPS StartS=f O
Word=strong Pos=JJ PPos=VBD StartS=f I
Word=profit Pos=NN PPos=JJ StartS=f I
Word=gains Pos=NNS PPos=NN StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=third Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=while Pos=IN PPos=, StartS=f O
Word=Nynex Pos=NNP PPos=IN StartS=f I
Word=Corp. Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=Pacific Pos=NNP PPos=, StartS=f I
Word=Telesis Pos=NNP PPos=NNP StartS=f I
Word=Group Pos=NNP PPos=NNP StartS=f I
Word=and Pos=CC PPos=NNP StartS=f O
Word=U Pos=NNP PPos=CC StartS=f I
Word=S Pos=NNP PPos=NNP StartS=f I
Word=West Pos=NNP PPos=NNP StartS=f I
Word=Inc. Pos=NNP PPos=NNP StartS=f I
Word=reported Pos=VBD PPos=NNP StartS=f O
Word=earnings Pos=NNS PPos=VBD StartS=f I
Word=declines Pos=NNS PPos=NNS StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=period Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Rate Pos=NN StartS=t I
Word=settlements Pos=NNS PPos=NN StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=Minnesota Pos=NNP PPos=IN StartS=f I
Word=and Pos=CC PPos=NNP StartS=f I
Word=Colorado Pos=NNP PPos=CC StartS=f I
Word=depressed Pos=JJ PPos=NNP StartS=f O
Word=U Pos=NNP PPos=JJ StartS=f I
Word=S Pos=NNP PPos=NNP StartS=f I
Word=West Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=third-quarter Pos=JJ PPos=POS StartS=f I
Word=profit Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Denver-based Pos=NNP StartS=t I
Word=U Pos=NNP PPos=NNP StartS=f I
Word=S Pos=NNP PPos=NNP StartS=f I
Word=West Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=net Pos=JJ PPos=VBD StartS=f I
Word=income Pos=NN PPos=JJ StartS=f I
Word=dropped Pos=VBD PPos=NN StartS=f O
Word=8.9 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=noting Pos=VBG PPos=, StartS=f O
Word=that Pos=IN PPos=VBG StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=year-ago Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=included Pos=VBD PPos=NN StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=sale Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=building Pos=NN PPos=DT StartS=f I
Word=by Pos=IN PPos=NN StartS=f O
Word=its Pos=PRP$ PPos=IN StartS=f I
Word=BetaWest Pos=NNP PPos=PRP$ StartS=f I
Word=Properties Pos=NNP PPos=NNP StartS=f I
Word=unit Pos=NN PPos=NNP StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Revenue Pos=NN StartS=t I
Word=dropped Pos=VBD PPos=NN StartS=f O
Word=4.3 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=2.3 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=2.4 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=reflecting Pos=VBG PPos=, StartS=f O
Word=declines Pos=NNS PPos=VBG StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=its Pos=PRP$ PPos=IN StartS=f I
Word=consumer-telephone Pos=JJ PPos=PRP$ StartS=f I
Word=sector Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f I
Word=long-distance Pos=JJ PPos=, StartS=f I
Word=carrier Pos=NN PPos=JJ StartS=f I
Word=business Pos=NN PPos=NN StartS=f I
Word=and Pos=CC PPos=NN StartS=f I
Word=diversified Pos=JJ PPos=CC StartS=f I
Word=division Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Revenue Pos=NN StartS=t I
Word=from Pos=IN PPos=NN StartS=f O
Word=business-telephone Pos=JJ PPos=IN StartS=f I
Word=operations Pos=NNS PPos=JJ StartS=f I
Word=grew Pos=VBD PPos=NNS StartS=f O
Word=3.3 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=618.9 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=599.4 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=a Pos=DT PPos=CD StartS=f B
Word=year Pos=NN PPos=DT StartS=f I
Word=ago Pos=RB PPos=NN StartS=f O
Word=. Pos=. PPos=RB StartS=f O

Word=New Pos=JJ StartS=t I
Word=telephone Pos=NN PPos=JJ StartS=f I
Word=lines Pos=NNS PPos=NN StartS=f I
Word=posted Pos=VBD PPos=NNS StartS=f O
Word=healthy Pos=JJ PPos=VBD StartS=f I
Word=growth Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Overall Pos=RB StartS=t O
Word=they Pos=PRP PPos=RB StartS=f I
Word=increased Pos=VBD PPos=PRP StartS=f O
Word=2.8 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=12.1 Pos=CD PPos=TO StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=putting Pos=VBG PPos=, StartS=f O
Word=U Pos=NNP PPos=VBG StartS=f I
Word=S Pos=NNP PPos=NNP StartS=f I
Word=West Pos=NNP PPos=NNP StartS=f I
Word=over Pos=IN PPos=NNP StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=12 Pos=CD PPos=DT StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=mark Pos=NN PPos=CD StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=first Pos=JJ PPos=DT StartS=f I
Word=time Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Business Pos=NN StartS=t I
Word=lines Pos=NNS PPos=NN StartS=f I
Word=increased Pos=VBN PPos=NNS StartS=f O
Word=3.7 Pos=CD PPos=VBN StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=3.3 Pos=CD PPos=TO StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=`` Pos=`` StartS=t O
Word=On Pos=IN PPos=`` StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=truly Pos=RB PPos=DT StartS=f I
Word=comparable Pos=JJ PPos=RB StartS=f I
Word=basis Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=we Pos=PRP PPos=, StartS=f I
Word='ve Pos=VBP PPos=PRP StartS=f O
Word=seen Pos=VBN PPos=VBP StartS=f O
Word=modest Pos=JJ PPos=VBN StartS=f I
Word=earnings Pos=NNS PPos=JJ StartS=f I
Word=growth Pos=NN PPos=NNS StartS=f I
Word=this Pos=DT PPos=NN StartS=f B
Word=year Pos=NN PPos=DT StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=operations Pos=NNS PPos=DT StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=our Pos=PRP$ PPos=IN StartS=f I
Word=company Pos=NN PPos=PRP$ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=said Pos=VBD PPos='' StartS=f O
Word=Jack Pos=NNP PPos=VBD StartS=f I
Word=MacAllister Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=chairman Pos=NN PPos=, StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=chief Pos=JJ PPos=CC StartS=f I
Word=executive Pos=JJ PPos=JJ StartS=f I
Word=officer Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=`` Pos=`` StartS=t O
Word=The Pos=DT PPos=`` StartS=f I
Word=major Pos=JJ PPos=DT StartS=f I
Word=negative Pos=JJ PPos=JJ StartS=f I
Word=factor Pos=NN PPos=JJ StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=cumulative Pos=JJ PPos=DT StartS=f I
Word=impact Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=regulatory Pos=JJ PPos=IN StartS=f I
Word=activity Pos=NN PPos=JJ StartS=f I
Word=over Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=past Pos=JJ PPos=DT StartS=f I
Word=two Pos=CD PPos=JJ StartS=f I
Word=years Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O
Word='' Pos='' PPos=. StartS=f O

Word=He Pos=PRP StartS=t I
Word=said Pos=VBD PPos=PRP StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=company Pos=NN PPos=DT StartS=f I
Word=expects Pos=VBZ PPos=NN StartS=f O
Word=to Pos=TO PPos=VBZ StartS=f O
Word=be Pos=VB PPos=TO StartS=f O
Word=`` Pos=`` PPos=VB StartS=f O
Word=on Pos=IN PPos=`` StartS=f O
Word=target Pos=NN PPos=IN StartS=f I
Word='' Pos='' PPos=NN StartS=f O
Word=with Pos=IN PPos='' StartS=f O
Word=analysts Pos=NNS PPos=IN StartS=f I
Word=' Pos=POS PPos=NNS StartS=f B
Word=projections Pos=NNS PPos=POS StartS=f I
Word=by Pos=IN PPos=NNS StartS=f O
Word=year Pos=NN PPos=IN StartS=f I
Word=end Pos=NN PPos=NN StartS=f I
Word=but Pos=CC PPos=NN StartS=f O
Word=conceded Pos=VBD PPos=CC StartS=f O
Word=that Pos=IN PPos=VBD StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=fourth Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=represents Pos=VBZ PPos=NN StartS=f O
Word=`` Pos=`` PPos=VBZ StartS=f O
Word=a Pos=DT PPos=`` StartS=f I
Word=significant Pos=JJ PPos=DT StartS=f I
Word=challenge Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O
Word='' Pos='' PPos=. StartS=f O

Word=Expenses Pos=NNS StartS=t I
Word=in Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=quarter Pos=NN PPos=DT StartS=f I
Word=dropped Pos=VBD PPos=NN StartS=f O
Word=11.2 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=664.3 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=747.7 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=a Pos=DT PPos=CD StartS=f B
Word=year Pos=NN PPos=DT StartS=f I
Word=ago Pos=RB PPos=NN StartS=f O
Word=. Pos=. PPos=RB StartS=f O

Word=Yesterday Pos=NN StartS=t I
Word=, Pos=, PPos=NN StartS=f O
Word=U Pos=NNP PPos=, StartS=f I
Word=S Pos=NNP PPos=NNP StartS=f I
Word=West Pos=NNP PPos=NNP StartS=f I
Word=shares Pos=NNS PPos=NNP StartS=f I
Word=rose Pos=VBD PPos=NNS StartS=f O
Word=75 Pos=CD PPos=VBD StartS=f I
Word=cents Pos=NNS PPos=CD StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=close Pos=VB PPos=TO StartS=f O
Word=at Pos=IN PPos=VB StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=71.25 Pos=CD PPos=$ StartS=f I
Word=in Pos=IN PPos=CD StartS=f O
Word=New Pos=NNP PPos=IN StartS=f I
Word=York Pos=NNP PPos=NNP StartS=f I
Word=Stock Pos=NNP PPos=NNP StartS=f I
Word=Exchange Pos=NNP PPos=NNP StartS=f I
Word=composite Pos=JJ PPos=NNP StartS=f I
Word=trading Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Philadelphia-based Pos=JJ StartS=t I
Word=Bell Pos=NNP PPos=JJ StartS=f I
Word=Atlantic Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=net Pos=NN PPos=VBD StartS=f I
Word=rose Pos=VBD PPos=NN StartS=f O
Word=6.5 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=aided Pos=VBN PPos=, StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=strong Pos=JJ PPos=IN StartS=f I
Word=growth Pos=NN PPos=JJ StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=network-services Pos=JJ PPos=DT StartS=f I
Word=business Pos=NN PPos=JJ StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=an Pos=DT PPos=CC StartS=f I
Word=increase Pos=NN PPos=DT StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=number Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=new Pos=JJ PPos=IN StartS=f I
Word=telephone Pos=NN PPos=JJ StartS=f I
Word=lines Pos=NNS PPos=NN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Revenue Pos=NN StartS=t I
Word=jumped Pos=VBD PPos=NN StartS=f O
Word=5.6 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=2.9 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=2.8 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=in Pos=IN PPos=CD StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=year-ago Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Revenue Pos=NN StartS=t I
Word=from Pos=IN PPos=NN StartS=f O
Word=financial Pos=JJ PPos=IN StartS=f I
Word=and Pos=CC PPos=JJ StartS=f I
Word=real-estate Pos=NN PPos=CC StartS=f I
Word=services Pos=NNS PPos=NN StartS=f I
Word=jumped Pos=VBD PPos=NNS StartS=f O
Word=23 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=177.4 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=144.1 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=a Pos=DT PPos=CD StartS=f B
Word=year Pos=NN PPos=DT StartS=f I
Word=ago Pos=RB PPos=NN StartS=f O
Word=. Pos=. PPos=RB StartS=f O

Word=Network-access Pos=JJ StartS=t I
Word=revenue Pos=NN PPos=JJ StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=long-distance Pos=JJ PPos=IN StartS=f I
Word=telephone Pos=NN PPos=JJ StartS=f I
Word=companies Pos=NNS PPos=NN StartS=f I
Word=increased Pos=VBN PPos=NNS StartS=f O
Word=6.4 Pos=CD PPos=VBN StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=618.6 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Bell Pos=NNP StartS=t I
Word=Atlantic Pos=NNP PPos=NNP StartS=f I
Word=added Pos=VBD PPos=NNP StartS=f O
Word=148,000 Pos=CD PPos=VBD StartS=f I
Word=new Pos=JJ PPos=CD StartS=f I
Word=telephone Pos=NN PPos=JJ StartS=f I
Word=lines Pos=NNS PPos=NN StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=quarter Pos=NN PPos=DT StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=total Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=16.9 Pos=CD PPos=IN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=The Pos=DT StartS=t I
Word=company Pos=NN PPos=DT StartS=f I
Word=said Pos=VBD PPos=NN StartS=f O
Word=per-share Pos=JJ PPos=VBD StartS=f I
Word=earnings Pos=NNS PPos=JJ StartS=f I
Word=were Pos=VBD PPos=NNS StartS=f O
Word=slightly Pos=RB PPos=VBD StartS=f O
Word=reduced Pos=VBN PPos=RB StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=sale Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=4.1 Pos=CD PPos=IN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=treasury Pos=NN PPos=IN StartS=f I
Word=stock Pos=NN PPos=NN StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=the Pos=DT PPos=TO StartS=f I
Word=company Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f I
Word=newly Pos=RB PPos=POS StartS=f O
Word=formed Pos=VBN PPos=RB StartS=f O
Word=Employee Pos=NNP PPos=VBN StartS=f O
Word=Stock Pos=NNP PPos=NNP StartS=f O
Word=Ownership Pos=NNP PPos=NNP StartS=f O
Word=Plans Pos=NNS PPos=NNP StartS=f O
Word=. Pos=. PPos=NNS StartS=f O

Word=In Pos=IN StartS=t O
Word=composite Pos=JJ PPos=IN StartS=f I
Word=trading Pos=NN PPos=JJ StartS=f I
Word=on Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=Big Pos=NNP PPos=DT StartS=f I
Word=Board Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=Bell Pos=NNP PPos=, StartS=f I
Word=Atlantic Pos=NNP PPos=NNP StartS=f I
Word=closed Pos=VBD PPos=NNP StartS=f O
Word=at Pos=IN PPos=VBD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=100.625 Pos=CD PPos=$ StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=up Pos=IN PPos=, StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=1.50 Pos=CD PPos=$ StartS=f I
Word=a Pos=DT PPos=CD StartS=f B
Word=share Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=At Pos=IN StartS=t O
Word=Nynex Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=net Pos=NN PPos=, StartS=f I
Word=slumped Pos=VBD PPos=NN StartS=f O
Word=14.8 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=primarily Pos=RB PPos=, StartS=f O
Word=because Pos=IN PPos=RB StartS=f O
Word=of Pos=IN PPos=IN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=continuing Pos=VBG PPos=DT StartS=f I
Word=strike Pos=NN PPos=VBG StartS=f I
Word=by Pos=IN PPos=NN StartS=f O
Word=60,000 Pos=CD PPos=IN StartS=f I
Word=employees Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=lower-than-expected Pos=JJ PPos=, StartS=f I
Word=profit Pos=NN PPos=JJ StartS=f I
Word=at Pos=IN PPos=NN StartS=f O
Word=its Pos=PRP$ PPos=IN StartS=f I
Word=New Pos=NNP PPos=PRP$ StartS=f I
Word=York Pos=NNP PPos=NNP StartS=f I
Word=Telephone Pos=NNP PPos=NNP StartS=f I
Word=unit Pos=NN PPos=NNP StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=significantly Pos=RB PPos=CC StartS=f I
Word=higher Pos=JJR PPos=RB StartS=f I
Word=taxes Pos=NNS PPos=JJR StartS=f I
Word=and Pos=CC PPos=NNS StartS=f I
Word=costs Pos=NNS PPos=CC StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=State Pos=NNP StartS=t I
Word=and Pos=CC PPos=NNP StartS=f I
Word=local Pos=JJ PPos=CC StartS=f I
Word=taxes Pos=NNS PPos=JJ StartS=f I
Word=increased Pos=VBN PPos=NNS StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=131.3 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=99.1 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=a Pos=DT PPos=CD StartS=f B
Word=year Pos=NN PPos=DT StartS=f I
Word=ago Pos=RB PPos=NN StartS=f O
Word=. Pos=. PPos=RB StartS=f O

Word=Nynex Pos=NNP StartS=t I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=expenses Pos=NNS PPos=VBD StartS=f I
Word=rose Pos=VBD PPos=NNS StartS=f O
Word=4.5 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=2.73 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=from Pos=IN PPos=CD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=2.61 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=a Pos=DT PPos=, StartS=f I
Word=$ Pos=$ PPos=DT StartS=f I
Word=119 Pos=CD PPos=$ StartS=f I
